observer,obs_count,city,year
15764,16,Los Angeles,2017
422786,16,Los Angeles,2017
424777,16,Los Angeles,2017
452436,15,Los Angeles,2017
97531,15,Los Angeles,2017
452488,14,Los Angeles,2017
113600,14,Los Angeles,2017
221355,14,Los Angeles,2017
443494,14,Los Angeles,2017
449731,14,Los Angeles,2017
451455,14,Los Angeles,2017
451484,14,Los Angeles,2017
457141,14,Los Angeles,2017
453335,13,Los Angeles,2017
450490,13,Los Angeles,2017
452847,13,Los Angeles,2017
451611,13,Los Angeles,2017
262752,12,Los Angeles,2017
385212,12,Los Angeles,2017
454033,12,Los Angeles,2017
420123,12,Los Angeles,2017
327807,12,Los Angeles,2017
452990,12,Los Angeles,2017
424390,12,Los Angeles,2017
452816,12,Los Angeles,2017
452459,12,Los Angeles,2017
427726,12,Los Angeles,2017
25298,12,Los Angeles,2017
222441,12,Los Angeles,2017
451553,12,Los Angeles,2017
216550,12,Los Angeles,2017
447475,12,Los Angeles,2017
455584,11,Los Angeles,2017
427603,11,Los Angeles,2017
451600,11,Los Angeles,2017
437625,11,Los Angeles,2017
451531,11,Los Angeles,2017
77126,11,Los Angeles,2017
453089,11,Los Angeles,2017
451469,11,Los Angeles,2017
417670,11,Los Angeles,2017
449502,11,Los Angeles,2017
451762,11,Los Angeles,2017
394489,11,Los Angeles,2017
395683,11,Los Angeles,2017
452999,10,Los Angeles,2017
20203,10,Los Angeles,2017
395666,10,Los Angeles,2017
394441,10,Los Angeles,2017
273618,10,Los Angeles,2017
454128,10,Los Angeles,2017
427235,10,Los Angeles,2017
455961,10,Los Angeles,2017
451463,10,Los Angeles,2017
207448,10,Los Angeles,2017
282682,10,Los Angeles,2017
324884,10,Los Angeles,2017
257740,10,Los Angeles,2017
456657,10,Los Angeles,2017
417067,10,Los Angeles,2017
457545,10,Los Angeles,2017
451610,10,Los Angeles,2017
451985,9,Los Angeles,2017
451533,9,Los Angeles,2017
463355,9,Los Angeles,2017
451799,9,Los Angeles,2017
451787,9,Los Angeles,2017
451452,9,Los Angeles,2017
22513,9,Los Angeles,2017
107732,9,Los Angeles,2017
199699,9,Los Angeles,2017
454708,9,Los Angeles,2017
451381,9,Los Angeles,2017
83520,9,Los Angeles,2017
408194,9,Los Angeles,2017
10299,9,Los Angeles,2017
451801,9,Los Angeles,2017
